"method","pc","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Logistic",1,0.74,0.72,0.6,0.52,0.69,0.65,0.45,0.52,0.76,0.73,0.73,0.52,0.67,0.63,0.67,0.52,0.73,0.69,0.5,0.52,0.68,0.64,0.64,0.52,0.72,0.68,0.44,0.52,0.71,0.68,0.5,0.52,0.71,0.68,0.47,0.52,0.74,0.71,0.62,0.52,0.72,0.69,0.63,0.52,0.69,0.65,0.45,0.52,0.67,0.63,0.62,0.52,0.71,0.67,0.47,0.52,0.68,0.64,0.43,0.52,0.68,0.65,0.6,0.52,0.73,0.69,0.5,0.52,0.76,0.73,0.67,0.52,0.69,0.65,0.67,0.52,0.74,0.71,0.68,0.52
"SVC.c5",1,0.74,0.5,0.6,0.52,0.69,0.68,0.45,0.52,0.76,0.56,0.73,0.52,0.67,0.78,0.67,0.52,0.73,0.6,0.5,0.52,0.68,0.75,0.64,0.52,0.72,0.55,0.54,0.52,0.71,0.58,0.5,0.52,0.71,0.71,0.47,0.52,0.74,0.52,0.62,0.52,0.72,0.58,0.63,0.52,0.69,0.66,0.45,0.52,0.67,0.73,0.62,0.52,0.71,0.74,0.47,0.52,0.68,0.75,0.43,0.52,0.68,0.76,0.4,0.52,0.73,0.75,0.5,0.52,0.76,0.48,0.67,0.52,0.69,0.74,0.67,0.52,0.74,0.49,0.68,0.52
"SVC.c10",1,0.74,0.51,0.6,0.52,0.69,0.72,0.45,0.52,0.76,0.54,0.73,0.52,0.67,0.78,0.67,0.52,0.73,0.55,0.5,0.52,0.68,0.81,0.64,0.52,0.72,0.63,0.55,0.52,0.71,0.6,0.5,0.52,0.71,0.74,0.47,0.52,0.74,0.6,0.62,0.52,0.72,0.65,0.63,0.52,0.69,0.73,0.45,0.52,0.67,0.75,0.62,0.52,0.71,0.63,0.47,0.52,0.68,0.74,0.43,0.52,0.68,0.8,0.4,0.52,0.73,0.73,0.5,0.52,0.76,0.57,0.67,0.52,0.69,0.82,0.67,0.52,0.74,0.49,0.68,0.52
"SVC.c30",1,0.74,0.59,0.6,0.52,0.69,0.72,0.45,0.52,0.76,0.5,0.73,0.52,0.67,0.71,0.67,0.52,0.73,0.65,0.5,0.52,0.68,0.75,0.64,0.52,0.72,0.65,0.54,0.52,0.71,0.77,0.5,0.52,0.71,0.69,0.47,0.52,0.74,0.52,0.62,0.52,0.72,0.7,0.63,0.52,0.69,0.73,0.45,0.52,0.67,0.65,0.62,0.52,0.71,0.66,0.47,0.52,0.68,0.63,0.43,0.52,0.68,0.69,0.4,0.52,0.73,0.84,0.5,0.52,0.76,0.58,0.67,0.52,0.69,0.81,0.67,0.52,0.74,0.59,0.68,0.52
"SVC.c50",1,0.74,0.51,0.6,0.52,0.69,0.85,0.45,0.52,0.76,0.5,0.73,0.52,0.67,0.74,0.67,0.52,0.73,0.64,0.5,0.52,0.68,0.6,0.64,0.52,0.72,0.72,0.54,0.52,0.71,0.66,0.5,0.52,0.71,0.82,0.47,0.52,0.74,0.49,0.62,0.52,0.72,0.68,0.63,0.52,0.69,0.7,0.45,0.52,0.67,0.82,0.62,0.52,0.71,0.66,0.47,0.52,0.68,0.8,0.43,0.52,0.68,0.72,0.4,0.52,0.73,0.68,0.5,0.52,0.76,0.55,0.67,0.52,0.69,0.74,0.67,0.52,0.74,0.62,0.68,0.52
"SVC.c80",1,0.74,0.47,0.6,0.52,0.69,0.74,0.45,0.52,0.76,0.49,0.73,0.52,0.67,0.74,0.67,0.52,0.73,0.58,0.5,0.52,0.68,0.79,0.64,0.52,0.72,0.78,0.55,0.52,0.71,0.61,0.5,0.52,0.71,0.62,0.47,0.52,0.74,0.56,0.62,0.52,0.72,0.76,0.63,0.52,0.69,0.67,0.45,0.52,0.67,0.78,0.62,0.52,0.71,0.74,0.47,0.52,0.68,0.81,0.43,0.52,0.68,0.78,0.4,0.52,0.73,0.7,0.5,0.52,0.76,0.46,0.67,0.52,0.69,0.59,0.67,0.52,0.74,0.5,0.68,0.52
"SVC.c100",1,0.74,0.53,0.6,0.52,0.69,0.7,0.45,0.52,0.76,0.59,0.73,0.52,0.67,0.78,0.67,0.52,0.73,0.63,0.5,0.52,0.68,0.7,0.64,0.52,0.72,0.68,0.54,0.52,0.71,0.7,0.5,0.52,0.71,0.62,0.47,0.52,0.74,0.51,0.62,0.52,0.72,0.66,0.63,0.52,0.69,0.65,0.45,0.52,0.67,0.72,0.62,0.52,0.71,0.53,0.47,0.52,0.68,0.68,0.43,0.52,0.68,0.85,0.4,0.52,0.73,0.64,0.5,0.52,0.76,0.53,0.67,0.52,0.69,0.81,0.67,0.52,0.74,0.57,0.68,0.52
"RandomForest",1,1,0.76,0.48,0.55,1,0.63,0.69,0.6,1,0.76,0.55,0.52,1,0.72,0.53,0.62,1,0.76,0.54,0.56,1,0.66,0.88,0.56,1,0.69,0.6,0.58,1,0.6,0.76,0.57,1,0.76,0.59,0.57,1,0.78,0.51,0.55,1,0.82,0.73,0.58,1,0.64,0.61,0.58,1,0.66,0.59,0.62,1,0.79,0.62,0.55,1,0.64,0.72,0.58,1,0.7,0.66,0.57,1,0.67,0.77,0.57,1,0.71,0.58,0.53,1,0.66,0.69,0.61,1,0.76,0.42,0.59
"Logistic",5,0.78,0.66,0.46,0.5,0.72,0.58,0.7,0.5,0.8,0.71,0.7,0.51,0.73,0.56,0.52,0.49,0.76,0.64,0.5,0.52,0.75,0.59,0.56,0.52,0.78,0.66,0.54,0.57,0.79,0.67,0.54,0.5,0.78,0.66,0.65,0.54,0.77,0.67,0.51,0.52,0.75,0.64,0.46,0.5,0.73,0.57,0.63,0.5,0.75,0.59,0.69,0.49,0.73,0.59,0.59,0.51,0.73,0.56,0.79,0.48,0.78,0.62,0.76,0.54,0.77,0.64,0.82,0.5,0.8,0.71,0.56,0.52,0.78,0.63,0.64,0.55,0.77,0.66,0.6,0.5
"SVC.c5",5,0.75,0.55,0.49,0.52,0.7,0.68,0.73,0.52,0.79,0.53,0.82,0.5,0.73,0.86,0.56,0.51,0.75,0.66,0.5,0.52,0.72,0.69,0.67,0.52,0.75,0.73,0.64,0.51,0.75,0.6,0.53,0.52,0.76,0.76,0.67,0.5,0.75,0.62,0.62,0.53,0.74,0.7,0.56,0.53,0.71,0.64,0.68,0.52,0.7,0.73,0.76,0.51,0.72,0.81,0.65,0.52,0.69,0.83,0.74,0.52,0.74,0.81,0.74,0.54,0.75,0.76,0.87,0.5,0.78,0.51,0.62,0.52,0.74,0.7,0.58,0.51,0.75,0.68,0.65,0.53
